Index,Part Name,Collection ID,Unit ID,Part Type,X Part,Rarity,Attr,W Tag 1,W Tag 2,Armor,Melee ATK,Shot ATK,Melee DEF,Shot DEF,Beam RES,Phys. RES,EX ID,Trait,Wep Type,Wep Cat,Notes
34,GM,01-04-1-01,8,1,,1,1,2,19,287,137,797,287,287,138,0,3,,,,"Free Missions, Friend Point Capsule, Capital Shop"
35,GM,01-04-2-01,8,2,,1,1,2,19,509,137,137,372,372,190,0,,"Physical ranged weapon, reload speed boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
36,GM,01-04-3-01,8,3,,1,1,2,19,287,797,137,372,372,0,0,,"With Saber Category equipped, Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
37,GM,01-04-4-01,8,4,,1,1,2,16,287,137,137,372,372,190,138,13,,,,"Free Missions, Friend Point Capsule, Capital Shop"
38,GM,01-04-5-01,8,5,,1,1,2,16,287,137,137,372,372,190,138,14,,,,"Free Missions, Friend Point Capsule, Capital Shop"
39,Beam Spray Gun,01-04-7a-01,8,7,,1,1,2,7,287,0,1011,0,0,190,54,,Shooting DMG taken reduced by 10,1,8,"Free Missions, Friend Point Capsule, Capital Shop"
40,Shield [GM],01-04-8-01,8,8,,1,1,2,16,287,0,0,509,509,263,54,,"With Power attribute (self), Strong Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
41,Zaku II,01-05-1-01,9,1,,1,2,2,17,373,137,373,373,287,138,54,15,,,,"Free Missions, Friend Point Capsule, Capital Shop"
42,Zaku II,01-05-2-01,9,2,,1,2,2,17,640,137,137,287,287,191,0,16,,,,"Free Missions, Friend Point Capsule, Capital Shop"
43,Zaku II,01-05-3-01,9,3,,1,2,2,18,287,373,137,373,373,54,0,,"All-Rounder Job, Enemy Sp. Shot power reduced 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
44,Zaku II,01-05-4-01,9,4,,1,2,2,18,373,137,137,511,137,191,54,,"With Axe Category equipped, Shooting DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
45,Zaku II,01-05-5-01,9,5,,1,2,2,18,373,137,137,373,287,191,54,,"With Machine Gun Category equipped, Sp. Shot power boosted 18%",,,"Free Missions, Friend Point Capsule, Capital Shop"
46,Heat Hawk,01-05-6b-01,9,6,,1,2,2,17,373,798,0,287,0,138,54,17,,2,1,"Free Missions, Friend Point Capsule, Capital Shop"
47,Zaku Bazooka,01-05-7d-01,9,7,,1,2,2,7,373,0,798,287,0,191,54,,Enemy Strong Melee power reduced 10%,2,12,"Free Missions, Friend Point Capsule, Capital Shop"
48,Zaku Machine Gun [Zaku II],01-05-7c-01,9,7,,1,2,2,7,373,0,798,287,0,191,54,,Initial EX Skill charge boosted 10%,2,9,"Free Missions, Friend Point Capsule, Capital Shop"
49,Zaku II [Char Aznable],01-06-1-01,10,1,,3,3,3,20,558,291,1698,558,558,0,302,18,,,,Haro Chip Capsule
50,Zaku II [Char Aznable],01-06-2-01,10,2,,3,3,3,20,1140,291,291,889,889,0,428,,"When Armor is 60% or more, Debuff EX Skill effect up 15%",,,Haro Chip Capsule
51,Zaku II [Char Aznable],01-06-3-01,10,3,,3,3,3,18,558,1698,291,889,889,0,0,19,,,,Haro Chip Capsule
52,Zaku II [Char Aznable],01-06-4-01,10,4,,3,3,3,9,558,291,291,889,889,302,428,,"With Speed attribute (self), Sp. Shot power boosted 25%",,,Haro Chip Capsule
53,Zaku II [Char Aznable],01-06-5-01,10,5,,3,3,3,9,558,291,291,889,889,302,428,,"With Speed attribute (self), EX Skill piercing boosted 22%",,,Haro Chip Capsule
54,Dom,01-08-1-01,11,1,,1,2,11,8,373,137,373,373,287,54,138,,"When Armor is 50% or less, Shooting DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
55,Dom,01-08-2-01,11,2,,1,2,11,8,640,137,137,287,287,0,191,20,,,,"Free Missions, Friend Point Capsule, Capital Shop"
56,Dom,01-08-3-01,11,3,,1,2,11,23,287,373,137,373,373,0,54,2,,,,"Free Missions, Friend Point Capsule, Capital Shop"
57,Dom,01-08-4-01,11,4,,1,2,11,23,373,137,137,511,137,54,191,,"When Armor is 50% or less, Shot spread reduced 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
58,Dom,01-08-5-01,11,5,,1,2,11,23,373,137,137,373,287,54,191,21,,,,"Free Missions, Friend Point Capsule, Capital Shop"
59,Gouf,01-07-1-01,12,1,,1,2,6,17,372,137,287,372,137,138,54,22,,,,"Free Missions, Friend Point Capsule, Capital Shop"
60,Gouf,01-07-2-01,12,2,,1,2,6,17,511,137,137,511,287,190,0,,"With ""GM Type"" enemy, Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
61,Gouf,01-07-3-01,12,3,,1,2,6,17,137,1012,137,511,137,0,0,23,,,,"Free Missions, Friend Point Capsule, Capital Shop"
62,Gouf,01-07-4-01,12,4,,1,2,6,2,287,137,137,511,287,138,190,,"With ""GM Type"" enemy, Shooting DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
63,Gouf,01-07-5-01,12,5,,1,2,6,21,287,137,137,511,287,190,138,,"Physical ranged weapon, magazine boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
64,Heat Saber [Gouf],01-07-6a-01,12,6,,1,2,6,21,137,1309,0,0,0,138,54,,"With ""GM Type"" enemy, Strong Melee DMG output boosted by 10",2,2,"Free Missions, Friend Point Capsule, Capital Shop"
65,Shield [Gouf],01-07-8-01,12,8,,1,2,6,2,287,0,0,797,287,319,0,24,,,,"Free Missions, Friend Point Capsule, Capital Shop"
66,Acguy,01-09-1-01,13,1,,1,2,4,11,287,138,376,287,287,138,138,3,,,,Friend Point Capsule & Capital Shop
67,Acguy,01-09-2-01,13,2,4,1,2,4,25,376,287,287,641,641,403,403,15,,,,Friend Point Capsule & Capital Shop
68,Acguy,01-09-3-01,13,3,,1,2,4,25,138,376,138,287,287,194,194,25,,,,Friend Point Capsule & Capital Shop
69,Acguy,01-09-5-01,13,5,,1,2,4,11,138,138,138,376,376,194,194,,"Beam ranged weapon, magazine boosted 10%",,,Friend Point Capsule & Capital Shop
70,Z'Gok,01-10-2-01,14,2,4,1,2,4,26,797,287,372,797,797,319,0,26,,,,"Free Missions, Friend Point Capsule, Capital Shop"
71,Z'Gok,01-10-3-01,14,3,,1,2,4,26,287,372,137,372,372,138,54,27,,,,"Free Missions, Friend Point Capsule, Capital Shop"
72,Z'Gok,01-10-4-01,14,4,,1,2,4,2,287,137,137,509,509,54,138,22,,,,"Free Missions, Friend Point Capsule, Capital Shop"
73,Z'Gok,01-10-5-01,14,5,,1,2,4,2,287,137,137,509,509,138,54,,"With ""For Base"" enemy, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
74,Gyan,01-11-1-01,15,1,,1,2,6,21,372,137,287,372,287,54,138,28,,,,"Free Missions, Friend Point Capsule, Capital Shop"
75,Gyan,01-11-2-01,15,2,,1,2,6,21,640,287,137,287,287,0,190,,"When Armor is 90% or more, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
76,Gyan,01-11-3-01,15,3,,1,2,6,26,287,899,0,372,372,0,0,,"With Saber Category equipped, Sp. Shot DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
77,Gyan,01-11-4-01,15,4,,1,2,6,26,372,137,137,372,287,138,190,29,,,,"Free Missions, Friend Point Capsule, Capital Shop"
78,Gyan,01-11-5-01,15,5,,1,2,6,26,372,137,137,372,287,138,190,,"Physical ranged weapon, magazine boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
79,Beam Saber,01-11-6a-01,15,6,,1,2,6,10,372,1149,0,0,0,54,138,,"In-Fighter Job, Melee DMG taken reduced by 10",1,2,"Free Missions, Friend Point Capsule, Capital Shop"
80,Missile Shield,01-11-8-01,15,8,,1,2,6,17,372,0,0,510,287,54,264,30,,,,"Free Missions, Friend Point Capsule, Capital Shop"
81,Gelgoog [Mass Production Type],01-12-1-01,16,1,,1,3,2,20,511,137,373,287,287,0,138,13,,,,"Free Missions, Friend Point Capsule, Capital Shop"
82,Gelgoog [Mass Production Type],01-12-2-01,16,2,,1,3,2,20,798,137,137,287,287,0,191,,"With Rifle Category equipped, Strong Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
83,Gelgoog [Mass Production Type],01-12-3-01,16,3,,1,3,2,20,373,373,137,373,373,0,54,,"With Speed attribute (self), Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
84,Gelgoog [Mass Production Type],01-12-4-01,16,4,,1,3,2,25,373,137,137,373,373,191,54,,"When attacking with Physical, Melee DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
85,Gelgoog [Mass Production Type],01-12-5-01,16,5,,1,3,2,25,373,137,137,373,373,54,191,,"With ""Mass P."" enemy, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
86,Beam Rifle [Gelgoog],01-12-7a-01,16,7,,1,3,2,20,373,0,511,137,137,138,191,,"With ""Mass P."" enemy, Sp. Shot CRIT rate boosted 10%",1,8,"Free Missions, Friend Point Capsule, Capital Shop"
87,Zaku Minelayer,02-02-1-01,17,1,,1,2,2,15,373,137,373,287,373,110,110,15,,,,"Free Missions, Friend Point Capsule, Capital Shop"
88,Zaku Minelayer,02-02-2-01,17,2,,1,2,2,15,640,137,137,287,511,25,25,,"With Technique attribute (self), Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
89,Zaku Minelayer,02-02-3-01,17,3,,1,2,2,18,287,373,137,373,511,25,25,,"With ""Close Combat"" enemy, Sp. Shot DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
90,Zaku Minelayer,02-02-4-01,17,4,,1,2,2,18,373,137,137,137,511,138,138,,"With ""Close Combat"" enemy, Sp. Shot DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
91,Zaku Minelayer,02-02-5-01,17,5,,1,2,2,18,373,137,137,287,373,138,138,31,,,,"Free Missions, Friend Point Capsule, Capital Shop"
92,Zaku II Type FS [Garma Zabi],02-01-1-01,18,1,,2,3,3,18,187,187,1483,187,570,0,0,3,,,,Haro Chip Capsule
93,Zaku II Type FS [Garma Zabi],02-01-2-01,18,2,,2,3,3,18,757,187,187,364,757,139,139,,"With Speed attribute (self), Buff EX Skill time up 15%",,,Haro Chip Capsule
94,Zaku II Type FS [Garma Zabi],02-01-3-01,18,3,,2,3,3,18,570,364,187,187,757,139,139,32,,,,Haro Chip Capsule
95,Zaku II Type FS [Garma Zabi],02-01-4-01,18,4,,2,3,3,8,364,187,187,364,757,201,201,,"When attacking with Physical, Melee power boosted 15%",,,Haro Chip Capsule
96,Zaku II Type FS [Garma Zabi],02-01-5-01,18,5,,2,3,3,8,364,187,187,364,757,201,201,,"With Speed attribute (self), Vernier consumption reduced 10%",,,Haro Chip Capsule
97,Dead End G,02-01-6b-02,18,6,,2,3,3,10,570,1090,0,0,0,209,209,33,,2,1,Haro Chip Capsule
98,Large Heat Hawk,02-01-6b-01,18,6,,2,3,3,10,570,1090,0,0,0,209,209,33,,2,1,Haro Chip Capsule
99,Magella-Top Cannon,02-01-7b-01,18,7,,2,3,3,8,187,0,1867,0,0,139,139,,"When attacking with Physical, Shooting DMG output boosted by 15",2,10,Haro Chip Capsule
100,Gelgoog Cannon,02-03-1-01,19,1,,1,1,8,22,137,137,1012,137,372,0,0,,"With Machine Gun Category equipped, Shot spread reduced 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
101,Gelgoog Cannon,02-03-2-01,19,2,,1,1,8,15,511,137,137,287,511,0,190,,"When Armor is 50% or more, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
102,Gelgoog Cannon,02-03-3-01,19,3,,1,1,8,15,372,287,137,137,511,54,138,,"With Power attribute (self), Sp. Shot power boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
103,Gelgoog Cannon,02-03-4-01,19,4,,1,1,8,22,287,137,137,287,511,190,138,,"With Power attribute (self), EX Skill recovery boosted 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
104,Gelgoog Cannon,02-03-5-01,19,5,,1,1,8,22,287,137,137,287,511,138,190,34,,,,"Free Missions, Friend Point Capsule, Capital Shop"
105,Mobile Worker,36-01-1-01,20,1,,1,1,6,17,511,138,374,287,287,55,55,,"With Axe Category equipped, EX Skill DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
106,Mobile Worker,36-01-2-01,20,2,,1,1,6,17,798,138,138,287,287,110,110,35,,,,"Free Missions, Friend Point Capsule, Capital Shop"
107,Mobile Worker,36-01-3-01,20,3,,1,1,6,25,374,374,138,374,374,55,55,36,,,,"Free Missions, Friend Point Capsule, Capital Shop"
108,Mobile Worker,36-01-4-01,20,4,,1,1,6,25,374,138,138,374,374,138,138,,"In-Fighter Job, EX Skill piercing boosted 15%",,,"Free Missions, Friend Point Capsule, Capital Shop"
109,Mobile Worker,36-01-5-01,20,5,,1,1,6,24,374,138,138,374,374,138,138,,"With Axe Category equipped, Debuff EX Skill effect up 10%",,,"Free Missions, Friend Point Capsule, Capital Shop"
110,Shield [Mobile Worker],36-01-8-01,20,8,,1,1,6,24,374,0,0,374,374,143,143,,"In-Fighter Job, Strong Melee DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
111,Gundam Mk-II [A.E.U.G. Design],08-02-1-01,21,1,,2,1,13,23,365,188,944,188,573,139,139,37,,,,Haro Chip Capsule
112,Gundam Mk-II [A.E.U.G. Design],08-02-2-01,21,2,,2,1,13,23,573,365,188,365,758,139,139,,"With Power attribute (self), Debuff EX Skill effect up 12%",,,Haro Chip Capsule
113,Gundam Mk-II [A.E.U.G. Design],08-02-3-01,21,3,,2,1,13,23,365,1280,188,365,573,0,0,,"With Power attribute (self), Strong Melee CRIT rate boosted 14%",,,Haro Chip Capsule
114,Gundam Mk-II [A.E.U.G. Design],08-02-4-01,21,4,,2,1,13,7,365,188,188,188,573,210,210,38,,,,Haro Chip Capsule
115,Gundam Mk-II [A.E.U.G. Design],08-02-5-01,21,5,,2,1,13,7,365,188,188,188,573,210,210,4,,,,Haro Chip Capsule
116,Beam Saber [Mk-II],08-02-6a-01,21,6,,2,1,13,23,188,1665,0,0,365,139,139,39,,1,2,Haro Chip Capsule
117,Beam Rifle [Mk-II],08-02-7a-01,21,7,,2,1,13,26,365,0,944,0,365,139,139,,"Long-Shooter Job, Sp. Shot CRIT rate boosted 14%",1,8,Haro Chip Capsule
118,Hyper Bazooka [Mk-II],08-02-7d-01,21,7,,2,1,13,26,365,0,944,0,365,139,139,40,,2,12,Haro Chip Capsule
119,Shield [Mk-II / A.E.U.G. Design],08-02-8-01,21,8,,2,1,13,26,365,0,0,365,944,210,210,41,,,,Haro Chip Capsule
120,Gundam Mk-II [Titans Design],08-06-1-01,22,1,,2,3,13,16,364,187,942,187,570,201,81,42,,,,Haro Chip Capsule
121,Gundam Mk-II [Titans Design],08-06-2-01,22,2,,2,3,13,16,570,365,187,364,757,281,0,,"With Speed attribute (self), Buff EX Skill effect up 12%",,,Haro Chip Capsule
122,Gundam Mk-II [Titans Design],08-06-3-01,22,3,,2,3,13,25,364,1277,187,364,570,0,0,,"With Speed attribute (self), Strong Melee CRIT rate boosted 14%",,,Haro Chip Capsule
123,Gundam Mk-II [Titans Design],08-06-4-01,22,4,,2,3,13,7,364,187,187,187,570,281,201,43,,,,Haro Chip Capsule
124,Gundam Mk-II [Titans Design],08-06-5-01,22,5,,2,3,13,7,364,187,187,187,570,281,201,4,,,,Haro Chip Capsule
125,Shield [Mk-II / Titans Design],08-06-8-01,22,8,,2,3,13,25,364,0,0,364,942,374,81,41,,,,Haro Chip Capsule
126,GM II,08-05-1-01,23,1,,1,3,2,19,287,137,797,287,287,138,0,3,,,,"Free Missions, Friend Point Capsule, Capital Shop"
127,GM II,08-05-2-01,23,2,,1,3,2,19,509,137,137,372,372,190,0,,"Defender Job, Shooting DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
128,GM II,08-05-3-01,23,3,,1,3,2,19,287,797,137,372,372,0,0,,"With ""Zaku Type"" enemy, Sp. Shot DMG taken reduced by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
129,GM II,08-05-4-01,23,4,,1,3,2,25,287,137,137,372,372,190,138,28,,,,"Free Missions, Friend Point Capsule, Capital Shop"
130,GM II,08-05-5-01,23,5,,1,3,2,25,287,137,137,372,372,190,138,14,,,,"Free Missions, Friend Point Capsule, Capital Shop"
131,Rick Dias [Quattro Bajeena Colors],08-04-1-01,24,1,,2,2,9,2,365,187,571,365,365,202,202,44,,,,Haro Chip Capsule
132,Rick Dias [Quattro Bajeena Colors],08-04-2-01,24,2,,2,2,9,2,365,187,187,365,365,282,282,,"When Armor is 70% or more, Debuff EX Skill effect up 12%",,,Haro Chip Capsule
133,Rick Dias [Quattro Bajeena Colors],08-04-3-01,24,3,,2,2,9,24,187,571,187,365,365,282,282,45,,,,Haro Chip Capsule
134,Rick Dias [Quattro Bajeena Colors],08-04-4-01,24,4,,2,2,9,24,187,187,187,571,571,282,282,,"When Armor is 70% or more, Melee CRIT rate boosted 14%",,,Haro Chip Capsule
135,Rick Dias [Quattro Bajeena Colors],08-04-5-01,24,5,,2,2,9,24,187,187,187,571,571,282,282,46,,,,Haro Chip Capsule
136,Palace Athene,08-07-1-01,25,1,,2,1,10,8,570,187,570,570,364,139,139,18,,,,Haro Chip Capsule
137,Palace Athene,08-07-2-01,25,2,,2,1,10,15,942,187,187,364,364,139,139,,"With Power attribute (self), Debuff EX Skill effect up 12%",,,Haro Chip Capsule
138,Palace Athene,08-07-3-01,25,3,,2,1,10,8,364,570,187,570,570,29,29,47,,,,Haro Chip Capsule
139,Palace Athene,08-07-4-01,25,4,,2,1,10,15,570,187,187,757,187,201,201,48,,,,Haro Chip Capsule
140,Palace Athene,08-07-5-01,25,5,,2,1,10,8,570,187,187,570,364,201,201,49,,,,Haro Chip Capsule
141,Shield [Palace Athene],08-07-8-01,25,8,,2,1,10,15,270,0,0,942,364,209,209,50,,,,Haro Chip Capsule
142,GM III,10-01-1-01,26,1,,1,1,2,8,372,137,287,372,287,138,54,3,,,,"Free Missions, Friend Point Capsule, Capital Shop"
143,GM III,10-01-2-01,26,2,,1,1,2,8,640,287,137,287,287,190,0,,"When attacking with Beam, Strong Melee DMG output boosted by 10",,,"Free Missions, Friend Point Capsule, Capital Shop"
144,GM III,10-01-3-01,26,3,,1,1,2,16,287,899,0,372,372,0,0,51,,,,"Free Missions, Friend Point Capsule, Capital Shop"
145,GM III,10-01-4-01,26,4,,1,1,2,16,372,137,137,372,287,190,138,52,,,,"Free Missions, Friend Point Capsule, Capital Shop"
146,GM III,10-01-5-01,26,5,,1,1,2,16,372,137,137,372,287,190,138,14,,,,"Free Missions, Friend Point Capsule, Capital Shop"
147,Döven Wolf,07-04-1-01,27,1,,2,1,10,2,363,186,1088,363,363,0,200,3,,,,Haro Chip Capsule
148,Döven Wolf,07-04-2-01,27,2,,2,1,10,8,754,186,186,569,569,0,280,53,,,,Haro Chip Capsule
149,Döven Wolf,07-04-3-01,27,3,,2,1,10,2,363,1088,186,569,569,0,0,,"When attacking with Beam, Sp. Shot DMG output boosted 15 ",,,Haro Chip Capsule
150,Döven Wolf,07-04-4-01,27,4,,2,1,10,2,363,186,186,569,569,200,280,,"When attacking with Beam, Mid Shot Attack raised 10%",,,Haro Chip Capsule
151,Döven Wolf,07-04-5-01,27,5,,2,1,10,8,363,186,186,569,569,200,280,54,,,,Haro Chip Capsule
152,Beam Rifle [Döven Wolf],07-04-7a-01,27,7,,2,1,10,8,363,0,1479,0,0,80,280,55,,1,8,Haro Chip Capsule
153,Jegan,11-02-1-01,28,1,,2,2,7,25,755,187,570,364,364,201,0,56,,,,Haro Chip Capsule
154,Jegan,11-02-2-01,28,2,,2,2,7,25,1090,187,187,364,364,281,0,,"Supporter Job, EX Skill piercing boosted 16%",,,Haro Chip Capsule
155,Jegan,11-02-3-01,28,3,,2,2,7,25,570,570,187,570,570,81,0,,"With Bazooka Category equipped, Sp. Shot DMG output boosted by 15",,,Haro Chip Capsule
156,Jegan,11-02-4-01,28,4,,2,2,7,19,570,187,187,570,570,81,281,11,,,,Haro Chip Capsule
157,Jegan,11-02-5-01,28,5,,2,2,7,19,570,187,187,570,570,281,81,,"Beam ranged weapon, magazine boosted 14%",,,Haro Chip Capsule
158,Shield [Jegan],11-02-8-01,28,8,,2,2,7,19,570,0,0,570,570,462,0,41,,,,Haro Chip Capsule
159,Geara Doga,11-03-1-01,29,1,,2,2,2,18,570,187,364,570,187,201,81,57,,,,Haro Chip Capsule
160,Geara Doga,11-03-2-01,29,2,,2,2,2,7,754,187,187,754,364,281,0,,"When Armor is 30% or less, Melee DMG taken reduced by 15",,,Haro Chip Capsule
161,Geara Doga,11-03-3-01,29,3,,2,2,2,7,187,1480,187,754,187,0,0,,"When attacking with Beam, EX Skill power boosted by 15",,,Haro Chip Capsule
162,Geara Doga,11-03-4-01,29,4,,2,2,2,20,364,187,187,754,364,201,281,58,,,,Haro Chip Capsule
163,Geara Doga,11-03-5-01,29,5,,2,2,2,20,364,187,187,754,364,281,201,31,,,,Haro Chip Capsule
164,Beam Sword-Axe,11-03-6b-01,29,6,,2,2,2,18,187,1864,0,0,0,201,81,,Melee DMG output boosted by 15,1,1,Haro Chip Capsule
165,Beam Machine Gun [Geara Doga],11-03-7c-01,29,7,,2,2,2,18,570,0,1089,0,0,281,201,59,,1,9,Haro Chip Capsule
166,Shield [Geara Doga],11-03-8-01,29,8,,2,2,2,20,364,0,0,1089,364,462,0,60,,,,Haro Chip Capsule
167,Gundam NT-1 [Chobham Armor],06-02-1-01,30,1,,4,1,25,11,891,292,891,891,558,127,302,3,,,,Haro Chip Capsule
